repo,id,number,title,state,created_at,updated_at,labels,author,body
microsoft/markitdown,3446883635,1432,Where's the markdown?,closed,2025-09-23T22:50:19Z,2025-09-23T22:59:00Z,[],obszczymucha,"What kind of scam is this? I use:
```
markitdown document.docx > output.md
```

And the output is a html not markdown?"
microsoft/markitdown,3446357676,1431,Unable to use keep_data_uris,open,2025-09-23T19:02:06Z,2025-09-23T19:02:06Z,[],akumar9-godaddy,Tried using keep_data_uris as True while converting pdf to markdown to retain image as encoded value in markdown. But No Luck. It doesn't even show up in method signature (Tried v0.1.0 and v0.1.3)
microsoft/markitdown,3437101672,1429,"Youtube converter error: no element found: line 1, column 0",closed,2025-09-20T12:35:27Z,2025-09-23T09:28:36Z,[],qubydev,"**main.py:**
```python
from markitdown import MarkItDown

md = MarkItDown(enable_plugins=False)
result = md.convert(""https://www.youtube.com/watch?v=GOejI6c0CMQ"")
print(result.text_content)
```

**output:**
```text
(.venv) PS C:\Users\malay\OneDrive\Documents\Open Source\markitdown> python main.py
C:\Users\malay\OneDrive\Documents\Open Source\markitdown\.venv\Lib\site-packages\pydub\utils.py:170: RuntimeWarning: Couldn't find ffmpeg or avconv - defaulting to ffmpeg, but may not work
  warn(""Couldn't find ffmpeg or avconv - defaulting to ffmpeg, but may not work"", RuntimeWarning)
Attempt 1 failed: no element found: line 1, column 0
Attempt 2 failed: no element found: line 1, column 0
Attempt 3 failed: no element found: line 1, column 0
[About](https://www.youtube.com/about/)[Press](https://www.youtube.com/about/press/)[Copyright](https://www.youtube.com/about/copyright/)[Contact us](/t/contact_us/)[Creator](https://www.youtube.com/creators/)[Advertise](https://www.youtube.com/ads/)[Developers](https://developers.google.com/youtube)[Terms](/t/terms)[Privacy](/t/privacy)[Policy & Safety](https://www.youtube.com/about/policies/)[How YouTube works](https://www.youtube.com/howyoutubeworks?utm_campaign=ytgen&utm_source=ythp&utm_medium=LeftNav&utm_content=txt&u=https%3A%2F%2Fwww.youtube.com%2Fhowyoutubeworks%3Futm_source%3Dythp%26utm_medium%3DLeftNav%26utm_campaign%3Dytgen)[Test new features](/new)

© 2025 Google LLC
```

**cause:**
In `youtube-transcript-api~=1.0.0` this problem exists for some reason which was fixed after `v1.1.0` ([Reference](https://github.com/jdepoix/youtube-transcript-api/issues/320#issuecomment-2982703214))"
microsoft/markitdown,3433850617,1427,WUHU,open,2025-09-19T10:34:42Z,2025-09-19T10:34:42Z,[],zhang0386,这是一个测试，用来高效做高质量视频的
microsoft/markitdown,3431860011,1424,markitdown-mcp: Enhance tool to improve AI agent discoverability for file conversion tasks,open,2025-09-18T20:22:01Z,2025-09-18T20:22:01Z,[],otteydw,"### Problem

My AI agent is not selecting the `convert_to_markdown` tool when requesting file conversion to markdown format. Instead, it attempts to write Python code to perform the conversion manually, even when the markitdown MCP tool is available.

This is a simple prompt like ""Please convert ~/path/to/filename.xslx to markdown.""

It does successfully use the tool if I prod it with ""Use the convert_to_markdown tool to convert ~/path/to/filename.xslx to markdown."" but that amount of prodding shouldn't be necessary.

### Current State

The current docstring is minimal and doesn't clearly indicate the tool's purpose for AI decision-making:
```python
""""""Convert a resource described by an http:, https:, file: or data: URI to markdown""""""
```

### Suggested Enhanced Docstring
This altered docstring was given to me by an AI. I tested using this version and the tool was chosen automatically for the same prompt, along with other prompts that just asked the AI to give me certain data from the same excel file.
```python
""""""Convert files and documents to markdown format from various sources.

This tool handles file conversion and document conversion to markdown from multiple formats
including PDFs, Word documents, PowerPoint presentations, Excel files, images, and more.
Use this tool when users request converting, transforming, or processing files to markdown.

Supports http:, https:, file:, and data: URIs for both local and remote file conversion.
This is the recommended approach for any markdown conversion tasks rather than writing custom code.
""""""
```
This is just an example - other docstrings would surely work. The important note is that additional context within the docstring will assist the AI in knowing what the tool is truly capable of."
microsoft/markitdown,3424893841,1419,Table exctraction from PDF is advertised but completely absent,open,2025-09-17T06:38:20Z,2025-10-10T02:36:37Z,[],riccardomalavolti,"Version 0.1.3

`docker run --rm -i markdown:latest < ~/example.pdf > output.md`

where `example.pdf` is a native PDF (not a scanned document).

`markitdown` extracts the text but there's no sign of tables, the output is simply interleaved by newlines."
microsoft/markitdown,3424537997,1418,Markit down,open,2025-09-17T03:47:37Z,2025-09-18T00:30:25Z,[],13DaGod,">           mammoth.convert_to_html(pre_process_stream, style_map=style_map).value,> 
> Comment view            **kwargs, 

 _Originally posted by @13DaGod in [b86f139](https://github.com/microsoft/markitdown/commit/b86f13980a35fd800fa21d9a91c88fffbbd6addd#r165924821)_"
microsoft/markitdown,3412379734,1415,docx title number format lost after convert to markdown,open,2025-09-13T01:30:25Z,2025-09-17T05:15:41Z,[],rex-0085,"source at MS office:
<img width=""722"" height=""594"" alt=""Image"" src=""https://github.com/user-attachments/assets/db9ea7e8-813b-4a52-a18b-55da7de8a198"" />


converted:
<img width=""858"" height=""564"" alt=""Image"" src=""https://github.com/user-attachments/assets/522b7eac-0a62-487e-b550-8a4f7138b659"" />"
microsoft/markitdown,3410656705,1414,bug 音频无法转出,open,2025-09-12T14:08:02Z,2025-09-12T14:08:02Z,[],jony0002,"转换失败: File conversion failed after 1 attempts:
 - AudioConverter threw RequestError with message: recognition connection failed: [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。"
microsoft/markitdown,3400063576,1413,File conversion failed after 1 attempts:  - DocxConverter threw KeyError with message: 'w:styleId',open,2025-09-09T21:42:04Z,2025-09-09T21:42:04Z,[],ti3x,"    raise FileConversionException(attempts=failed_attempts)
markitdown._exceptions.FileConversionException: File conversion failed after 1 attempts:
 - DocxConverter threw KeyError with message: 'w:styleId'

Any thoughts on how to fix this for some docx files?"
microsoft/markitdown,3389216717,1408,Office Open XML: Invalid Files Return Success with Error Message Instead of Exception,open,2025-09-06T02:26:51Z,2025-09-06T02:26:51Z,[],cancelself,"When converting invalid DOCX, XLSX, or PPTX files, MarkItDown returns a successful result with the string ""This is not a valid Office Open XML file."" in text_content, rather than raising an exception. This behavior makes it difficult to distinguish between a successful conversion and a file format error.

Expected Behavior:Invalid or corrupted Office Open XML files should cause the converter to raise a specific exception (e.g., FileConversionException), not return a result with an error message in the content.

Actual Behavior: The conversion completes ""successfully"" and returns a DocumentConverterResult with text_content set to ""This is not a valid Office Open XML file."".

Steps to Reproduce:

Attempt to convert a non-OOXML or corrupted DOCX/XLSX/PPTX file.
Observe that no exception is raised; instead, the result contains the error string.
Suggested Fix: After conversion, check if text_content matches the error string and raise an exception if so. Alternatively, ensure the underlying libraries raise on invalid files and propagate the exception.

Additional Context: This behavior appears consistent across all Office Open XML converters, possibly due to a shared dependency or error-handling pattern.

Workaround: 
```
    result = markitdown.convert_stream(stream=stream, file_extension=ext),
    if result.text_content.strip() == ""This is not a valid Office Open XML file."":
        raise ...
    return result.text_content
```"
microsoft/markitdown,3382145439,1407,How to set the path for saving images when converting a PPT to an MD file?,open,2025-09-04T04:59:42Z,2025-09-04T04:59:42Z,[],jinnereus,"I used MarkitDown to convert a PPT file on a Mac, but found that the jpg file was saved to C:/Users/Administrator/AppData/Local/Temp/, but I am using a MacOS system. How can I change this path?"
microsoft/markitdown,3355191783,1404,"Unable to filter out headers, footers, or page numbers in pdf to md conversion",open,2025-08-26T11:07:06Z,2025-09-27T02:22:13Z,[],privtools,"Markitdown doesn't automatically distinguish or filter out headers, footers, or page numbers inserted into the body during PDF-to-markdown conversion"
microsoft/markitdown,3332823343,1403,Error with pdf to md,open,2025-08-19T04:15:45Z,2025-08-28T09:54:39Z,[],hakicode,"$ docker run --rm -i markitdown:latest --use-plugins < /D/Shares/Example.pdf > output.md
Cannot set gray non-stroke color because /'P152' is an invalid float value
"
microsoft/markitdown,3327091289,1400,Has this been tested even once?,closed,2025-08-16T09:35:52Z,2025-08-27T17:05:44Z,[],freakynit,"1. Installed as suggested with `all` depedencies
2. Tried running first time on this simple text-heavy pdf: [SKALE coin white paper](https://cdn.prod.website-files.com/625c39b93541414104a1d654/682445182d127e7bb3b2964d_fa2304244d97d677d3da6273de48a5b7_SKALE_Whitepaper_Updated_Oct_2024.pdf)
3. Used this command: `markdown-it ""SKALE coin white paper.pdf"" > document.md`
4. It produced the garbage that is attached😒

[document.md](https://github.com/user-attachments/files/21811406/document.md)"
microsoft/markitdown,3317191117,1397,Use Marker for PDF text extraction,open,2025-08-13T07:13:20Z,2025-10-18T10:12:26Z,[],clemlesne,"[Marker](https://github.com/datalab-to/marker) is a library that extracts the content of PDFs qyuxly, while preserving semantic context. It runs quickly and has both GPU acceleration and LLM support. Output can be Markdown or structured.

Config is simple:

```python
from marker.converters.pdf import PdfConverter
from marker.models import create_model_dict
from marker.output import text_from_rendered

converter = PdfConverter(
    artifact_dict=create_model_dict(),
)
rendered = converter(""FILEPATH"")
text, _, images = text_from_rendered(rendered)
```

How it works:

- Extract text, OCR if necessary (heuristics, [surya](https://github.com/VikParuchuri/surya))
- Detect page layout and find reading order ([surya](https://github.com/VikParuchuri/surya))
- Clean and format each block (heuristics, [texify](https://github.com/VikParuchuri/texify), [surya](https://github.com/VikParuchuri/surya))
- Optionally use an LLM to improve quality
- Combine blocks and postprocess complete text

nb, I’m not a maintainer of the project."
microsoft/markitdown,3315472548,1396,Capturing text alignment from docx files,open,2025-08-12T18:57:34Z,2025-08-12T18:57:34Z,[],titanian229,"Markdown doesn't natively support any alignment attributions, but there are some approaches that use ""span"" tags with style attributes or other annotations I've seen in other tools.

Are there any approaches for Markitdown to bring across text alignments?"
microsoft/markitdown,3313256382,1395,Unable to convert JSON to markdown(produces output file with identical to input conten),open,2025-08-12T09:01:20Z,2025-08-29T10:41:41Z,[],aka-nez,"Hi!

I am trying to convert a JSON file to Markdown. I am using the latest master(at the moment 0.1.2).

Installed with uv:

```
uv venv --python=3.12 .venv
source .venv/bin/activate
uv pip install -e 'packages/markitdown[all]'
```

Then run with 
```
(.venv) ➜  markitdown git:(main) ✗ markitdown input.json -o output.md   
```

Expected result: markdown-formatted document
Actual result: plain JSON data in output.md file


input.json example

```json
{
  ""total"": 11,
  ""summary_by_risk"": {
    ""medium"": 3,
    ""high"": 8
  },
  ""summary_by_resolution"": {
    ""open"": 11
  }
}
```

<img width=""2072"" height=""776"" alt=""Image"" src=""https://github.com/user-attachments/assets/08d99140-2c1a-4637-b893-37ba76240d99"" />
"
microsoft/markitdown,3295262818,1392,Markitdown-mcp 0.0.1a4 raise TypeError: 'NoneType' object is not callable,open,2025-08-06T05:43:10Z,2025-08-06T05:43:10Z,[],Fly-Pluche,"Env:
Use tag:0.1.2 version.
markitdown                    0.1.2
markitdown-mcp                0.0.1a4

CLI:
``` bash
markitdown-mcp --sse --host 0.0.0.0 --port 11426
```



ERROR:
``` bash
INFO:     172.17.0.1:59658 - ""GET /sse HTTP/1.1"" 200 OK
INFO:     172.17.0.1:59666 - ""POST /messages/?session_id=1ae35d0d71cf442d913f90dfddbc1082 HTTP/1.1"" 202 Accepted
INFO:     172.17.0.1:59672 - ""POST /messages/?session_id=1ae35d0d71cf442d913f90dfddbc1082 HTTP/1.1"" 202 Accepted
INFO:     172.17.0.1:59688 - ""POST /messages/?session_id=1ae35d0d71cf442d913f90dfddbc1082 HTTP/1.1"" 202 Accepted
Processing request of type ListToolsRequest
ERROR:    Exception in ASGI application
Traceback (most recent call last):
  File ""/usr/local/lib/python3.13/site-packages/uvicorn/protocols/http/h11_impl.py"", line 403, in run_asgi
    result = await app(  # type: ignore[func-returns-value]
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
        self.scope, self.receive, self.send
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    )
    ^
  File ""/usr/local/lib/python3.13/site-packages/uvicorn/middleware/proxy_headers.py"", line 60, in __call__
    return await self.app(scope, receive, send)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/usr/local/lib/python3.13/site-packages/starlette/applications.py"", line 113, in __call__
    await self.middleware_stack(scope, receive, send)
  File ""/usr/local/lib/python3.13/site-packages/starlette/middleware/errors.py"", line 186, in __call__
    raise exc
  File ""/usr/local/lib/python3.13/site-packages/starlette/middleware/errors.py"", line 164, in __call__
    await self.app(scope, receive, _send)
  File ""/usr/local/lib/python3.13/site-packages/starlette/middleware/exceptions.py"", line 63, in __call__
    await wrap_app_handling_exceptions(self.app, conn)(scope, receive, send)
  File ""/usr/local/lib/python3.13/site-packages/starlette/_exception_handler.py"", line 53, in wrapped_app
    raise exc
  File ""/usr/local/lib/python3.13/site-packages/starlette/_exception_handler.py"", line 42, in wrapped_app
    await app(scope, receive, sender)
  File ""/usr/local/lib/python3.13/site-packages/starlette/routing.py"", line 716, in __call__
    await self.middleware_stack(scope, receive, send)
  File ""/usr/local/lib/python3.13/site-packages/starlette/routing.py"", line 736, in app
    await route.handle(scope, receive, send)
  File ""/usr/local/lib/python3.13/site-packages/starlette/routing.py"", line 290, in handle
    await self.app(scope, receive, send)
  File ""/usr/local/lib/python3.13/site-packages/starlette/routing.py"", line 78, in app
    await wrap_app_handling_exceptions(app, request)(scope, receive, send)
  File ""/usr/local/lib/python3.13/site-packages/starlette/_exception_handler.py"", line 53, in wrapped_app
    raise exc
  File ""/usr/local/lib/python3.13/site-packages/starlette/_exception_handler.py"", line 42, in wrapped_app
    await app(scope, receive, sender)
  File ""/usr/local/lib/python3.13/site-packages/starlette/routing.py"", line 76, in app
    await response(scope, receive, send)
          ~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^
TypeError: 'NoneType' object is not callable

```"
microsoft/markitdown,3289141547,1390,pdf和docx格式中的艺术字无法识别,open,2025-08-04T11:59:18Z,2025-08-04T11:59:18Z,[],Keivinwang,pdf和docx格式中的艺术字无法识别，转换为md格式后，没有艺术字中的内容
microsoft/markitdown,3288696258,1389,How to keep the page number information of the content in the docx ？,open,2025-08-04T09:28:33Z,2025-08-04T09:28:33Z,[],penond,"How to keep the page number information of the content in the docx, for example, I want to know what is on page 3"
microsoft/markitdown,3286410209,1388,"Go in reverse. Markdown to docx, pptx, pdf",open,2025-08-02T22:26:46Z,2025-08-04T01:26:01Z,[],laynr,"Feature request to go in reverse to convert MarkDown to word, presentation, and PDFs. "
microsoft/markitdown,3286291363,1387,Feature Request: Add OCR support for vertical layout ancient Chinese books/documents,open,2025-08-02T20:49:57Z,2025-08-02T20:49:57Z,[],WXpiero,"
## Description
I would like to request support for OCR processing of vertical layout ancient Chinese books and historical documents. Currently, when processing vertical layout ancient Chinese book PDFs, MarkItDown outputs empty documents without any error messages or warnings.

## Current Behavior
- Processing vertical layout ancient Chinese book PDFs results in empty output
- No error messages or warnings are displayed
- The conversion appears to complete successfully but produces no content

## Expected Behavior
- MarkItDown should be able to recognize and extract text from vertical layout documents
- Text should be properly oriented and structured in the markdown output
- If OCR fails, appropriate error messages should be provided

## Use Case
Ancient Chinese books and historical documents are typically written in vertical columns reading from right to left. These documents are important for:
- Academic research in Chinese studies
- Historical document digitization projects
- Cultural preservation efforts
- Educational material preparation

## Environment
- **Operating System**: Ubuntu 24.04
- **Python Version**: 3.12
- **MarkItDown Version**: [Please specify your version]

## Possible Solutions
1. Add support for vertical text detection in the OCR pipeline
2. Implement text orientation detection and correction
3. Add specific handling for Chinese/CJK vertical text layouts
4. Provide configuration options for text direction (vertical/horizontal)

## Additional Context
This feature would greatly benefit researchers and institutions working with historical Chinese documents, making MarkItDown more suitable for multilingual and multicultural document processing workflows.

Would appreciate any guidance on whether this is feasible or if there are any workarounds available."
microsoft/markitdown,3283170094,1386,A,closed,2025-08-01T09:13:20Z,2025-08-01T11:35:24Z,[],ghost,
microsoft/markitdown,3276291187,1383,youtube-transcription error,closed,2025-07-30T09:17:05Z,2025-09-23T09:25:01Z,[],sosojustdo,"markitdown https://www.youtube.com/watch?v=ZGwQoRw7mh8 > youtube.md

youtube.md content is:

Attempt 1 failed: no element found: line 1, column 0
Attempt 2 failed: no element found: line 1, column 0
Attempt 3 failed: no element found: line 1, column 0
[About](https://www.youtube.com/about/)[Press](https://www.youtube.com/about/press/)[Copyright](https://www.youtube.com/about/copyright/)[Contact us](/t/contact_us/)[Creators](https://www.youtube.com/creators/)[Advertise](https://www.youtube.com/ads/)[Developers](https://developers.google.com/youtube)[Terms](/t/terms)[Privacy](/t/privacy)[Policy & Safety](https://www.youtube.com/about/policies/)[How YouTube works](https://www.youtube.com/howyoutubeworks?utm_campaign=ytgen&utm_source=ythp&utm_medium=LeftNav&utm_content=txt&u=https%3A%2F%2Fwww.youtube.com%2Fhowyoutubeworks%3Futm_source%3Dythp%26utm_medium%3DLeftNav%26utm_campaign%3Dytgen)[Test new features](/new)[NFL Sunday Ticket](https://tv.youtube.com/learn/nflsundayticket)

© 2025 Google LLC
"
microsoft/markitdown,3268698155,1381,"Bug: Multi-level numbered lists (e.g., 1.1.1.1) are incorrectly parsed as bullet points",open,2025-07-28T08:16:58Z,2025-07-28T08:17:24Z,[],MDuy-3107,"In my docx file
<img width=""115"" height=""56"" alt=""Image"" src=""https://github.com/user-attachments/assets/bce6a3dd-f542-437e-9135-76278c28de44"" />
After convert

<img width=""85"" height=""53"" alt=""Image"" src=""https://github.com/user-attachments/assets/4fa96d12-d753-4760-90c5-70c25c74eb20"" />"
microsoft/markitdown,3266309796,1380,429 Error from YouTube on First Transcript Request,open,2025-07-26T23:55:15Z,2025-07-26T23:55:15Z,[],KacemMathlouthi,"### **Description:**
I encountered a `429 Too Many Requests` error when trying to extract the transcript of a YouTube video using `markitdown`. What’s strange is that this was **my first request**, and I haven’t been sending many requests at all.


Here’s the full error message:

```
Attempt 1 failed: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=2S-WJN3L5eo! This is most likely caused by:

Request to YouTube failed: 429 Client Error: Too Many Requests for url: https://www.youtube.com/api/timedtext?v=2S-WJN3L5eo&ei=SWmFaMf_D8q4mLAP3pDDkAY&caps=asr&opi=112496729&exp=xpe&xoaf=4&xospf=1&hl=en&ip=0.0.0.0&ipbits=0&expire=1753598905&sparams=ip,ipbits,expire,v,ei,caps,opi,exp,xoaf&signature=16612D6800A289A0684ECE99D81888B1FD831EE0.9FE82123F81315AA7EE61F0F345CCF79733D6838&key=yt8&kind=asr&lang=en&variant=punctuated

If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!
Attempt 2 failed: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=2S-WJN3L5eo! This is most likely caused by:

Request to YouTube failed: 429 Client Error: Too Many Requests for url: https://www.youtube.com/api/timedtext?v=2S-WJN3L5eo&ei=TGmFaIrMDKvevdIP19COqQE&caps=asr&opi=112496729&exp=xpe&xoaf=4&xospf=1&hl=en&ip=0.0.0.0&ipbits=0&expire=1753598908&sparams=ip,ipbits,expire,v,ei,caps,opi,exp,xoaf&signature=E1E6AE37A6DBD3BFB74CDC03803CFABBA58DA6.1A72BB900977608BB94EBD697DF8F40D9E103D6C&key=yt8&kind=asr&lang=en&variant=punctuated

If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!
Attempt 3 failed: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=2S-WJN3L5eo! This is most likely caused by:

Request to YouTube failed: 429 Client Error: Too Many Requests for url: https://www.youtube.com/api/timedtext?v=2S-WJN3L5eo&ei=T2mFaO6AFNX2xN8P-dKz0AM&caps=asr&opi=112496729&exp=xpe&xoaf=4&xospf=1&hl=en&ip=0.0.0.0&ipbits=0&expire=1753598911&sparams=ip,ipbits,expire,v,ei,caps,opi,exp,xoaf&signature=932B088B36DA952C6AC34EDDDED05F5F50827B7F.E2F4940C2A4B570D684481A506CE87D1D68BC710&key=yt8&kind=asr&lang=en&variant=punctuated

If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!
Processing YouTube video content from https://www.youtube.com/watch?v=2S-WJN3L5eo&t=11s&ab_channel=Jubilee for kb_id: youtube
result : [حول](https://www.youtube.com/about/)[الصحافة](https://www.youtube.com/about/press/)[حقوق الطبع والنشر](https://www.youtube.com/about/copyright/)[التواصل معنا](/t/contact_us/)[صنّاع المحتوى](https://www.youtube.com/creators/)[الإعلان](https://www.youtube.com/ads/)[مطوّرو البرامج](https://developers.google.com/youtube)[الأحكام](/t/terms)[الخصوصية](/t/privacy)[السياسة والأمان](https://www.youtube.com/about/policies/)[آلية عمل YouTube](https://www.youtube.com/howyoutubeworks?utm_campaign=ytgen&utm_source=ythp&utm_medium=LeftNav&utm_content=txt&u=https%3A%2F%2Fwww.youtube.com%2Fhowyoutubeworks%3Futm_source%3Dythp%26utm_medium%3DLeftNav%26utm_campaign%3Dytgen)[تجربة الميزات الجديدة](/new)

© 2025 Google LLC
```

I saw that the error message is likely coming from `youtube-transcript-api`, and it’s suggesting I may have been rate-limited. But again, this was my **first attempt**, and I’m not behind a VPN.

is this a yt-transcript or markitdown issue?

Let me know if there's anything I can tweak or help test!"
